id	group	shannon_entropy
#q2:types	categorical	numeric
ERR1331785	cfs	3.38435300932596
ERR1331792	cfs	4.83164282206221
ERR1331808	cfs	4.56170243725888
ERR1331819	cfs	6.09488859196695
ERR1331820	cfs	4.46198648737116
ERR1331821	cfs	4.95530534560844
ERR1331822	cfs	5.82421167334734
ERR1331823	cfs	4.34990334942837
ERR1331824	cfs	4.8091320394929
ERR1331825	cfs	5.27439576058027
ERR1331826	cfs	5.26157212232462
ERR1331827	cfs	3.73603347907764
ERR1331828	cfs	4.75549138167331
ERR1331831	cfs	5.47600015915744
ERR1331834	cfs	6.38805168993513
ERR1331835	cfs	6.12892117585505
ERR1331836	cfs	5.30116783883988
ERR1331837	cfs	5.47277210905903
ERR1331840	cfs	5.45887944261485
ERR1331841	cfs	5.50784062130951
ERR1331850	cfs	5.27957879907396
ERR1331854	cfs	5.09957603575448
ERR1331855	cfs	5.83120708535114
ERR1331858	cfs	4.76855154335689
ERR1331860	cfs	5.57908618657562
ERR1331862	cfs	5.30016668995147
ERR1331863	cfs	5.11211102040355
ERR1331864	cfs	3.61775598109676
ERR1331865	cfs	4.40007765012289
ERR1331867	cfs	4.69011161097135
ERR1331872	cfs	5.89155431567668
ERR1331786	controle	3.50916668030451
ERR1331787	controle	3.27378199566646
ERR1331788	controle	3.211355252653
ERR1331789	controle	4.17539659439631
ERR1331790	controle	3.35331630673505
ERR1331791	controle	4.00593853811133
ERR1331793	controle	4.87193222207399
ERR1331794	controle	2.96841994173777
ERR1331796	controle	5.98446588555065
ERR1331797	controle	4.77585299737659
ERR1331798	controle	4.89542088153215
ERR1331799	controle	5.52738325677277
ERR1331802	controle	4.77923912210124
ERR1331803	controle	4.25215583288985
ERR1331804	controle	3.96594282775094
ERR1331805	controle	2.93836600808588
ERR1331806	controle	5.66958696028104
ERR1331807	controle	4.25126918704325
ERR1331809	controle	4.27356710979998
ERR1331810	controle	5.19824766927701
ERR1331813	controle	2.95824584579899
ERR1331832	controle	4.35598994920749
ERR1331838	controle	5.12590934030146
ERR1331839	controle	3.50696755708772
ERR1331844	controle	5.03370519573834
ERR1331845	controle	5.8408234137783
ERR1331846	controle	5.24646319632336
ERR1331847	controle	4.8791143220859
ERR1331848	controle	5.52954425143519
ERR1331849	controle	4.53869963886316
ERR1331851	controle	4.98177633136169
ERR1331859	controle	4.6910346221155
ERR1331866	controle	4.94244451257227
ERR1331868	controle	2.13913072109135
ERR1331869	controle	3.56499036229485
ERR1331870	controle	5.38799227085626
ERR1331871	controle	5.23380200474889
