id	group	shannon_entropy
#q2:types	categorical	numeric
ERR2585973	controle	6.29245982947309
ERR2585974	controle	6.76902772570651
ERR2585976	controle	6.47933924589867
ERR2585977	controle	6.12344527582368
ERR2585978	controle	6.77458863889924
ERR2585979	controle	5.45620707374145
ERR2585980	controle	5.80745149774288
ERR2585981	controle	6.15984829869395
ERR2585982	controle	7.2395419738566
ERR2585983	controle	5.84947674898774
ERR2585984	controle	5.54646245253468
ERR2585985	controle	6.20636501960735
ERR2585989	controle	6.56512768597279
ERR2585962	endo	6.02547541940444
ERR2585963	endo	6.00220078641689
ERR2585964	endo	6.33448277094713
ERR2585965	endo	6.16430913413221
ERR2585966	endo	1.60963622125104
ERR2585967	endo	6.68385460279271
ERR2585968	endo	7.28545468259088
ERR2585969	endo	6.46028551211238
ERR2585970	endo	6.28259245941667
ERR2585971	endo	5.70735024040925
ERR2585972	endo	5.60180871576952
ERR2585986	endo	6.31388350884398
ERR2585987	endo	4.82774527041218
ERR2585988	endo	6.51896933153403
