id	group	shannon_entropy
#q2:types	categorical	numeric
ERR2625059	controle	6.15714012295697
ERR2625061	controle	6.1950794970611
ERR2625063	controle	6.01442896056645
ERR2625067	controle	4.89527290551112
ERR2625069	controle	6.41114645732359
ERR2625071	controle	6.58273911815322
ERR2625073	controle	6.32227836024386
ERR2625085	controle	6.0525486925177
ERR2625087	controle	6.86104184382353
ERR2625091	controle	6.21053041165868
ERR2625093	controle	7.26002925181428
ERR2625095	controle	6.8294919221031
ERR2625101	controle	6.65910103016002
ERR2625105	controle	6.76449984826691
ERR2625109	controle	6.71502830696912
ERR2625111	controle	6.58654455065292
ERR2625117	controle	6.58374018094883
ERR2625121	controle	4.75727453194654
ERR2625127	controle	6.29645763736643
ERR2625129	controle	5.64033963366887
ERR2625145	controle	5.78148988419733
ERR2625151	controle	5.83851750245024
ERR2625157	controle	5.82390917764406
ERR2625159	controle	6.72391297380088
ERR2625058	fbm	5.83907020600159
ERR2625060	fbm	6.41531151667916
ERR2625062	fbm	5.13023248414402
ERR2625064	fbm	6.16459559098366
ERR2625070	fbm	6.2928689700259
ERR2625074	fbm	5.84219680178504
ERR2625078	fbm	6.13490290452767
ERR2625082	fbm	6.36612554516647
ERR2625090	fbm	7.0290444690674
ERR2625102	fbm	5.3003056397197
ERR2625104	fbm	6.78592770288872
ERR2625108	fbm	5.85284552788148
ERR2625110	fbm	5.98768311093229
ERR2625112	fbm	6.96927135985469
ERR2625114	fbm	5.98789107739227
ERR2625120	fbm	4.58372152023902
ERR2625122	fbm	4.86557558621928
ERR2625124	fbm	6.1584027119921
ERR2625126	fbm	5.66160573772993
ERR2625130	fbm	5.52648950077335
ERR2625132	fbm	6.85708691983835
ERR2625136	fbm	6.25453821063944
ERR2625138	fbm	5.57269176585916
ERR2625142	fbm	6.04954887225916
ERR2625150	fbm	5.92251834130065
ERR2625156	fbm	5.24222399818845
ERR2625160	fbm	5.64618556162682
ERR2625164	fbm	5.88770760429591
ERR2625165	fbm	6.12026194693665
ERR2625166	fbm	6.49359989906806
ERR2625167	fbm	6.73386452979025
ERR2625168	fbm	5.72876226733629
ERR2625169	fbm	6.16389702029885
ERR2625170	fbm	5.61648615979111
ERR2625171	fbm	6.88669858278176
ERR2625172	fbm	6.99579925075937
ERR2625173	fbm	5.31476444772301
ERR2625177	fbm	6.60966940151046
ERR2625178	fbm	5.13846077988982
ERR2625180	fbm	6.5800721593298
ERR2625182	fbm	6.18620950367391
ERR2625183	fbm	6.94771224410968
ERR2625184	fbm	5.68039708788955
ERR2625185	fbm	6.83350684504205
ERR2625186	fbm	5.82792170197054
ERR2625187	fbm	5.95174082462031
ERR2625188	fbm	5.76472891323611
ERR2625189	fbm	5.01557789672409
ERR2625190	fbm	4.63449760582931
ERR2625191	fbm	6.90818454638202
ERR2625192	fbm	6.36743172644979
ERR2625193	fbm	7.04182491485885
ERR2625194	fbm	6.27214742036096
ERR2625195	fbm	6.09585279306813
ERR2625196	fbm	5.31310155598531
ERR2625197	fbm	5.14520774282973
ERR2625198	fbm	6.48975651909251
ERR2625199	fbm	6.75096211228487
ERR2625200	fbm	6.02580728928972
ERR2625201	fbm	6.36775493653827
ERR2625202	fbm	6.66893415306756
ERR2625203	fbm	6.18277434774921
ERR2625204	fbm	6.38307940228212
ERR2625205	fbm	5.92587688266033
ERR2625206	fbm	6.12949338802397
ERR2625207	fbm	6.48043479135321
ERR2625208	fbm	6.5074716500267
ERR2625210	fbm	5.8793702216977
ERR2625211	fbm	5.8492830732478
