id	group	shannon_entropy
#q2:types	categorical	numeric
SRR18588324	controle	4.15131756205974
SRR18588325	controle	5.16656527196353
SRR18588326	controle	4.84136318328628
SRR18588328	controle	4.70968957838901
SRR18588330	controle	5.22708878154452
SRR18588334	controle	6.07161801709369
SRR18588337	controle	3.4654892961265
SRR18588338	controle	5.54549373239994
SRR18588341	controle	4.10763780423392
SRR18588342	controle	5.86492505297484
SRR18588346	controle	5.33381284458021
SRR18588350	controle	4.97164477911801
SRR18588421	controle	4.18755296425294
SRR18588423	controle	4.13156211474229
SRR18588424	controle	4.54165504593476
SRR18588427	controle	3.69659856643642
SRR18588437	controle	3.43546434567295
SRR18588452	controle	6.00647218458223
SRR18588469	controle	4.9508502131241
SRR18588470	controle	4.06859110736294
SRR18588471	controle	6.00178962742549
SRR18588472	controle	4.05648729011804
SRR18588473	controle	4.92033161621699
SRR18588474	controle	5.80136823318513
SRR18588475	controle	5.44387543250249
SRR18588476	controle	6.58746892155402
SRR18588477	controle	5.56309811640842
SRR18588478	controle	5.21109105424969
SRR18588480	controle	5.61593058671544
SRR18588483	controle	4.81997110226399
SRR18588484	controle	5.38042845350424
SRR18588486	controle	4.58726464059353
SRR18588487	controle	4.96657850460029
SRR18588488	controle	4.9510945794729
SRR18588489	controle	4.39700542938321
SRR18588491	controle	3.9765008656153
SRR18588492	controle	4.7864497719866
SRR18588493	controle	3.62933526538268
SRR18588494	controle	4.50514985138794
SRR18588495	controle	4.9597263498794
SRR18588496	controle	3.05265835331623
SRR18588498	controle	4.68605457415391
SRR18588499	controle	4.00748383363564
SRR18588500	controle	5.80458432732822
SRR18588677	controle	4.23413536660397
SRR18588678	controle	3.77135212450798
SRR18588783	controle	4.71315893493064
SRR18588785	controle	4.87457948857396
SRR18588789	controle	6.00971403859162
SRR18588803	controle	4.38020446867167
SRR18588822	controle	3.64615635204274
SRR18588832	controle	5.1017245702231
SRR18588931	controle	2.5095944116419
SRR18588932	controle	4.88042930828005
SRR18588934	controle	4.72184672773393
SRR18588935	controle	4.53677418502777
SRR18588936	controle	5.42905328966304
SRR18588937	controle	3.76944689629868
SRR18588938	controle	5.35605560309735
SRR18588939	controle	5.65194057408869
SRR18588941	controle	5.14825253386793
SRR18588942	controle	3.56024119070368
SRR18588943	controle	5.36828492062476
SRR18588944	controle	4.20008986676519
SRR18588945	controle	5.37189005814177
SRR18588946	controle	4.36477066426066
SRR18588947	controle	4.16985814199285
SRR18588948	controle	4.83692892224661
SRR18588949	controle	5.97567088544236
SRR18588950	controle	4.77392644134911
SRR18588953	controle	4.01132970538938
SRR18588954	controle	4.75763835051551
SRR18588955	controle	5.68641349065056
SRR18588956	controle	4.90307142089098
SRR18588957	controle	5.89075939714277
SRR18588958	controle	3.80464707872505
SRR18588959	controle	4.87476429214668
SRR18588963	controle	1.99217268183754
SRR18588965	controle	5.15616808511933
SRR18588966	controle	5.83653756782925
SRR18588967	controle	5.61212208290373
SRR18588969	controle	5.37396649349085
SRR18588970	controle	4.71246124104986
SRR18588971	controle	4.78435757086182
SRR18588979	controle	6.96810627399612
SRR18588980	controle	6.06696937413001
SRR18588983	controle	7.13615989347832
SRR18588984	controle	6.7449535962632
SRR18588985	controle	6.87309837873109
SRR18588987	controle	6.37352349635914
SRR18588988	controle	6.65261747234564
SRR18588992	controle	5.76974703359443
SRR18588994	controle	4.41765009524711
SRR18589033	controle	5.69980985346378
SRR18589051	controle	4.41427832385149
SRR18588258	ibs	5.40924280663724
SRR18588817	ibs	5.17977225190886
SRR18588818	ibs	4.82945428058868
SRR18588820	ibs	3.34596047134723
SRR18588824	ibs	4.47117597803347
SRR18588825	ibs	6.06634746171935
SRR18588826	ibs	4.28259699305369
SRR18588827	ibs	5.33630526393345
SRR18588828	ibs	4.73327875296219
SRR18589062	ibs	6.44589824217208
SRR18589063	ibs	4.52112679079853
SRR18589066	ibs	4.25224511559495
