sample-id	group
SRR8547757	controle
SRR8547758	controle
SRR8547760	controle
SRR8547763	controle
SRR8547766	controle
SRR8547768	controle
SRR8547771	controle
SRR8547772	controle
SRR8547774	controle
SRR8547775	controle
SRR8547778	controle
SRR8547779	controle
SRR8547781	controle
SRR8547782	controle
SRR8547783	controle
SRR8547785	controle
SRR8547786	controle
SRR8547788	controle
SRR8547793	controle
SRR8547795	controle
SRR8547803	controle
SRR8547806	controle
SRR8547807	controle
SRR8547808	controle
SRR8547809	controle
SRR8547810	controle
SRR8547811	controle
SRR8547812	controle
SRR8547813	controle
SRR8547814	controle
SRR8547816	controle
SRR8547817	controle
SRR8547818	controle
SRR8547819	controle
SRR8547820	controle
SRR8547821	controle
SRR8547823	controle
SRR8547825	controle
SRR8547826	controle
SRR8547827	controle
SRR8547828	controle
SRR8547830	controle
SRR8547832	controle
SRR8547834	controle
SRR8547835	controle
SRR8547836	controle
SRR8547837	controle
SRR8547838	controle
SRR8547845	controle
SRR8547846	controle
SRR8547849	controle
SRR8547850	controle
SRR8547851	controle
SRR8547852	controle
SRR8547859	controle
SRR8547860	controle
SRR8547861	controle
SRR8547862	controle
SRR8547864	controle
SRR8547865	controle
SRR8547875	controle
SRR8547876	controle
SRR8547881	controle
SRR8547882	controle
SRR8547883	controle
SRR8547884	controle
SRR8547888	controle
SRR8547890	controle
SRR8547893	controle
SRR8547897	controle
SRR8547898	controle
SRR8547899	controle
SRR8547901	controle
SRR8547902	controle
SRR8547903	controle
SRR8547904	controle
SRR8547906	controle
SRR8547910	controle
SRR8547911	controle
SRR8547759	fbm
SRR8547761	fbm
SRR8547762	fbm
SRR8547764	fbm
SRR8547765	fbm
SRR8547767	fbm
SRR8547769	fbm
SRR8547770	fbm
SRR8547773	fbm
SRR8547776	fbm
SRR8547777	fbm
SRR8547780	fbm
SRR8547784	fbm
SRR8547787	fbm
SRR8547789	fbm
SRR8547790	fbm
SRR8547791	fbm
SRR8547792	fbm
SRR8547794	fbm
SRR8547796	fbm
SRR8547797	fbm
SRR8547798	fbm
SRR8547799	fbm
SRR8547800	fbm
SRR8547801	fbm
SRR8547802	fbm
SRR8547804	fbm
SRR8547805	fbm
SRR8547815	fbm
SRR8547822	fbm
SRR8547824	fbm
SRR8547829	fbm
SRR8547831	fbm
SRR8547833	fbm
SRR8547839	fbm
SRR8547840	fbm
SRR8547841	fbm
SRR8547842	fbm
SRR8547843	fbm
SRR8547844	fbm
SRR8547847	fbm
SRR8547848	fbm
SRR8547853	fbm
SRR8547854	fbm
SRR8547855	fbm
SRR8547856	fbm
SRR8547857	fbm
SRR8547858	fbm
SRR8547863	fbm
SRR8547866	fbm
SRR8547867	fbm
SRR8547868	fbm
SRR8547869	fbm
SRR8547870	fbm
SRR8547871	fbm
SRR8547872	fbm
SRR8547873	fbm
SRR8547874	fbm
SRR8547877	fbm
SRR8547878	fbm
SRR8547879	fbm
SRR8547880	fbm
SRR8547885	fbm
SRR8547886	fbm
SRR8547887	fbm
SRR8547889	fbm
SRR8547891	fbm
SRR8547892	fbm
SRR8547894	fbm
SRR8547895	fbm
SRR8547896	fbm
SRR8547900	fbm
SRR8547905	fbm
SRR8547907	fbm
SRR8547908	fbm
SRR8547909	fbm
SRR8547912	fbm
