id	group	shannon_entropy
#q2:types	categorical	numeric
SRR8547757	controle	6.43975972153207
SRR8547758	controle	5.63306703978557
SRR8547760	controle	5.03250155295444
SRR8547763	controle	6.38542485355038
SRR8547766	controle	4.79696529300353
SRR8547768	controle	4.96839750165545
SRR8547771	controle	5.67885525049928
SRR8547772	controle	6.52096875726222
SRR8547774	controle	6.48502704811793
SRR8547775	controle	6.84159925246668
SRR8547778	controle	5.84284401008768
SRR8547779	controle	4.71069517180867
SRR8547781	controle	4.21708078361686
SRR8547782	controle	6.77333589979848
SRR8547783	controle	5.86562374956048
SRR8547785	controle	5.92901402369355
SRR8547786	controle	6.04302210548558
SRR8547788	controle	5.47096555865879
SRR8547793	controle	5.33502634375223
SRR8547795	controle	5.32519437479321
SRR8547803	controle	6.70985226914471
SRR8547806	controle	6.47895722438979
SRR8547807	controle	6.41965726348065
SRR8547808	controle	5.82673807250234
SRR8547809	controle	6.37632185938945
SRR8547810	controle	6.29322959229437
SRR8547811	controle	5.81916448468475
SRR8547812	controle	5.323903842643
SRR8547813	controle	6.69604661763378
SRR8547814	controle	6.81416979008667
SRR8547816	controle	6.23426059554523
SRR8547817	controle	6.0859964511221
SRR8547818	controle	5.45091764361348
SRR8547819	controle	5.51508928291485
SRR8547820	controle	3.67130002419479
SRR8547821	controle	6.16236816199213
SRR8547823	controle	4.76056100473613
SRR8547825	controle	4.2403723584926
SRR8547826	controle	6.77314501549219
SRR8547827	controle	5.93153773988201
SRR8547828	controle	5.87562290829751
SRR8547830	controle	6.85999222543212
SRR8547832	controle	5.16524035592799
SRR8547834	controle	5.4471014176234
SRR8547835	controle	4.40144767032716
SRR8547836	controle	5.96786032330389
SRR8547837	controle	6.21987995268943
SRR8547838	controle	6.69754819796171
SRR8547845	controle	5.03676269681877
SRR8547846	controle	6.34675431944408
SRR8547849	controle	6.55716134477175
SRR8547850	controle	5.5020054773311
SRR8547851	controle	5.2133964822021
SRR8547852	controle	6.73178979165169
SRR8547859	controle	6.02317327695944
SRR8547860	controle	5.00349892246523
SRR8547861	controle	6.32015887155686
SRR8547862	controle	3.36829805922187
SRR8547864	controle	4.98456220810481
SRR8547865	controle	5.71714498877252
SRR8547875	controle	5.22942440287743
SRR8547876	controle	6.59556937437181
SRR8547881	controle	4.0422505556098
SRR8547882	controle	5.85512352114793
SRR8547883	controle	5.7415952264422
SRR8547884	controle	5.17323166525923
SRR8547888	controle	5.49702845466377
SRR8547890	controle	5.17941634411396
SRR8547893	controle	5.4754832315074
SRR8547897	controle	5.95676082874663
SRR8547898	controle	4.09992681370308
SRR8547899	controle	4.15286453835018
SRR8547901	controle	4.71196310560093
SRR8547902	controle	4.80366664007157
SRR8547903	controle	4.46110196527028
SRR8547904	controle	6.86349943230698
SRR8547906	controle	6.23021937199449
SRR8547910	controle	6.53236981558387
SRR8547911	controle	4.58811489096481
SRR8547759	fbm	5.22431322706083
SRR8547761	fbm	5.6238142640052
SRR8547762	fbm	5.20604713706823
SRR8547764	fbm	5.93977497962671
SRR8547765	fbm	6.36068443078181
SRR8547767	fbm	6.56613830691919
SRR8547769	fbm	5.40241708873189
SRR8547770	fbm	6.9612205751441
SRR8547773	fbm	5.94553629994242
SRR8547776	fbm	5.96147288500562
SRR8547777	fbm	6.55806024693073
SRR8547780	fbm	7.07920854782162
SRR8547784	fbm	4.31823641392988
SRR8547787	fbm	5.97936098251712
SRR8547789	fbm	6.29649851712939
SRR8547790	fbm	5.1173515954572
SRR8547791	fbm	5.67400996153591
SRR8547792	fbm	5.55206302547846
SRR8547794	fbm	5.93711681268554
SRR8547796	fbm	5.84667785641094
SRR8547797	fbm	6.24676164563944
SRR8547798	fbm	3.4638414055175
SRR8547799	fbm	6.30940158046103
SRR8547800	fbm	5.66494548407958
SRR8547801	fbm	4.89558590710006
SRR8547802	fbm	4.88286666608669
SRR8547804	fbm	6.65968259007076
SRR8547805	fbm	5.98954331668002
SRR8547815	fbm	5.67635858669613
SRR8547822	fbm	4.9157915921362
SRR8547824	fbm	5.22450627689461
SRR8547829	fbm	4.04207515968234
SRR8547831	fbm	5.09122870350166
SRR8547833	fbm	6.41517150970201
SRR8547839	fbm	6.17004601824306
SRR8547840	fbm	5.56227939280572
SRR8547841	fbm	6.03293744048949
SRR8547842	fbm	6.21116649573288
SRR8547843	fbm	5.9031584916073
SRR8547844	fbm	5.52090059100269
SRR8547847	fbm	6.09403281905489
SRR8547848	fbm	6.57115099552985
SRR8547853	fbm	3.85831247881499
SRR8547854	fbm	6.10130052494756
SRR8547855	fbm	5.53723271485202
SRR8547856	fbm	7.18411731462293
SRR8547857	fbm	6.61768139202902
SRR8547858	fbm	6.51160480598073
SRR8547863	fbm	5.0510883373005
SRR8547866	fbm	5.24909607185823
SRR8547867	fbm	6.50740180424702
SRR8547868	fbm	6.2440121824336
SRR8547869	fbm	5.94349195022188
SRR8547870	fbm	5.51807763903933
SRR8547871	fbm	5.42918781454235
SRR8547872	fbm	6.37763549354734
SRR8547873	fbm	5.12768268891215
SRR8547874	fbm	5.622110685476
SRR8547877	fbm	5.38176548842943
SRR8547878	fbm	5.73301957496455
SRR8547879	fbm	5.40953743605096
SRR8547880	fbm	6.48418176938184
SRR8547885	fbm	5.44288228491017
SRR8547886	fbm	6.39568211204554
SRR8547887	fbm	5.49800095535506
SRR8547889	fbm	6.39422689555547
SRR8547891	fbm	6.60228023127907
SRR8547892	fbm	4.44060834244152
SRR8547894	fbm	5.39942334043538
SRR8547895	fbm	5.68596134240627
SRR8547896	fbm	4.66520210485135
SRR8547900	fbm	4.8673660107828
SRR8547905	fbm	6.74241450891155
SRR8547907	fbm	5.54853897228152
SRR8547908	fbm	4.11889313513526
SRR8547909	fbm	5.17670973268414
SRR8547912	fbm	4.75060456104376
