id	group	shannon_entropy
#q2:types	categorical	numeric
SRR13247365C	controle	5.84977622660548
SRR13247372C	controle	5.91783550214182
SRR13247410C	controle	5.61902776025917
SRR13247414C	controle	5.67425010449105
SRR13247420C	controle	6.33587401608418
SRR13247432C	controle	4.69875169931025
SRR13247439C	controle	5.4669525212391
SRR13247459C	controle	5.11806833621769
SRR13247464C	controle	6.22247550097791
SRR13247365	ibs	5.82151875488487
SRR13247372	ibs	5.93951359973908
SRR13247410	ibs	5.62058359851127
SRR13247414	ibs	5.63304161394965
SRR13247420	ibs	6.31670155781624
SRR13247432	ibs	4.73327690239857
SRR13247439	ibs	5.46203952955203
SRR13247459	ibs	5.06625369382488
SRR13247464	ibs	6.19716217567498
